osnma.osnma_core.receiver_state     | INFO     | Start status COLD_START
osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (34, 00, 01) PRN_A: 34}, {ID: (30, 00, 15) PRN_A: 34}, {ID: (34, 12, 01) PRN_A: 34}, {ID: (15, 00, 15) PRN_A: 34}, {ID: (30, 12, 15) PRN_A: 34}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[{ID: (13, 00, 15) PRN_A: 34}]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 4 Authenticated at 1332 291690

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (36, 00, 01) PRN_A: 36}, {ID: (30, 00, 15) PRN_A: 36}, {ID: (36, 12, 01) PRN_A: 36}, {ID: (04, 00, 15) PRN_A: 36}, {ID: (30, 12, 15) PRN_A: 36}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[{ID: (27, 00, 15) PRN_A: 36}]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 4 Authenticated at 1332 291690

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (25, 00, 01) PRN_A: 25}, {ID: (24, 00, 15) PRN_A: 25}, {ID: (25, 12, 01) PRN_A: 25}, {ID: (15, 00, 15) PRN_A: 25}, {ID: (24, 12, 15) PRN_A: 25}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[{ID: (13, 00, 15) PRN_A: 25}]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 4 Authenticated at 1332 291690

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (09, 00, 01) PRN_A: 09}, {ID: (10, 00, 15) PRN_A: 09}, {ID: (09, 12, 01) PRN_A: 09}, {ID: (04, 00, 15) PRN_A: 09}, {ID: (10, 12, 15) PRN_A: 09}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[{ID: (31, 00, 15) PRN_A: 09}]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 4 Authenticated at 1332 291690

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (02, 00, 02) PRN_A: 02}, {ID: (02, 04, 15) PRN_A: 02}, {ID: (02, 12, 02) PRN_A: 02}, {ID: (24, 00, 15) PRN_A: 02}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[{ID: (30, 00, 15) PRN_A: 02}, {ID: (15, 00, 15) PRN_A: 02}]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 5 Authenticated at 1332 291720

osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 02 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 25 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 34 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 36 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 09 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 02 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 34 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 36 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 25 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | MACSEQ AUTHENTICATED
	PRN_A: 09 GST_SF: 1332 291690 FLX Tags: 1
osnma.osnma_core.tag_verification   | INFO     | Tag verification:

osnma.osnma_core.tag_verification   | INFO     | Tag AUTHENTICATED
	(02, 00) PRN_A: 02 GST_SF: 1332 291690 COP: 01 TAG0
osnma.osnma_core.tag_verification   | INFO     | Tag AUTHENTICATED
	(30, 00) PRN_A: 02 GST_SF: 1332 291690 COP: 15
osnma.osnma_core.tag_verification   | INFO     | Tag AUTHENTICATED
	(15, 00) PRN_A: 02 GST_SF: 1332 291690 COP: 15
osnma.osnma_core.tag_verification   | INFO     | Tag AUTHENTICATED
	(25, 00) PRN_A: 25 GST_SF: 1332 291690 COP: 01 TAG0
osnma.osnma_core.tag_verification   | INFO     | Tag AUTHENTICATED
	(15, 00) PRN_A: 25 GST_SF: 1332 291690 COP: 15
